timeSec,trialIndex,configurationIndex,pegColor,force,event
13.483,1,2,Green,0.0000,PickedUp
13.526,1,2,Green,0.0000,
13.580,1,2,Green,0.0000,
13.636,1,2,Green,0.0000,
13.691,1,2,Green,0.0000,
13.747,1,2,Green,0.0000,
13.802,1,2,Green,0.0000,
13.859,1,2,Green,0.0000,
13.913,1,2,Green,0.0000,
13.969,1,2,Green,0.0000,
14.024,1,2,Green,0.0000,
14.080,1,2,Green,0.0000,
14.135,1,2,Green,0.0000,
14.191,1,2,Green,0.0000,
14.247,1,2,Green,0.0000,
14.302,1,2,Green,0.0000,
14.358,1,2,Green,0.0000,
14.413,1,2,Green,0.0000,
14.469,1,2,Green,0.0000,
14.525,1,2,Green,0.0000,
14.580,1,2,Green,0.0000,
14.635,1,2,Green,0.0000,
14.692,1,2,Green,0.0000,
14.746,1,2,Green,0.0000,
14.802,1,2,Green,0.0000,
14.858,1,2,Green,0.0547,
14.913,1,2,Green,0.2347,
14.969,1,2,Green,0.2969,
15.024,1,2,Green,0.4183,
15.080,1,2,Green,0.4589,
15.135,1,2,Green,0.4442,
15.191,1,2,Green,0.4308,
15.246,1,2,Green,0.4244,
15.302,1,2,Green,0.3875,
15.358,1,2,Green,0.2725,
15.413,1,2,Green,0.2181,
15.469,1,2,Green,0.2107,
15.526,1,2,Green,0.2068,
15.580,1,2,Green,0.1753,
15.635,1,2,Green,0.1761,
15.691,1,2,Green,0.1832,
15.747,1,2,Green,0.1846,
15.802,1,2,Green,0.1836,
15.858,1,2,Green,0.1866,
15.913,1,2,Green,0.1893,
15.969,1,2,Green,0.1941,
16.024,1,2,Green,0.2002,
16.080,1,2,Green,0.2015,
16.135,1,2,Green,0.2066,
16.191,1,2,Green,0.2095,
16.246,1,2,Green,0.2054,
16.302,1,2,Green,0.1978,
16.358,1,2,Green,0.1912,
16.360,1,2,Green,0.1939,Placed
17.441,1,2,Red,0.0000,PickedUp
17.483,1,2,Red,0.0000,
17.538,1,2,Red,0.0000,
17.594,1,2,Red,0.0000,
17.649,1,2,Red,0.0000,
17.705,1,2,Red,0.0000,
17.760,1,2,Red,0.0000,
17.816,1,2,Red,0.0000,
17.871,1,2,Red,0.0000,
17.927,1,2,Red,0.0000,
17.982,1,2,Red,0.0000,
18.038,1,2,Red,0.0000,
18.093,1,2,Red,0.0000,
18.149,1,2,Red,0.0000,
18.204,1,2,Red,0.0000,
18.260,1,2,Red,0.0000,
18.315,1,2,Red,0.0000,
18.371,1,2,Red,0.0000,
18.427,1,2,Red,0.0000,
18.482,1,2,Red,0.0000,
18.538,1,2,Red,0.0000,
18.593,1,2,Red,0.0000,
18.649,1,2,Red,0.0000,
18.704,1,2,Red,0.0000,
18.760,1,2,Red,0.0000,
18.815,1,2,Red,0.0000,
18.871,1,2,Red,0.0000,
18.928,1,2,Red,0.0000,
18.982,1,2,Red,0.0000,
19.038,1,2,Red,0.0000,
19.093,1,2,Red,0.0000,
19.148,1,2,Red,0.0000,
19.204,1,2,Red,0.0000,
19.260,1,2,Red,0.0000,
19.315,1,2,Red,0.0000,
19.371,1,2,Red,0.0000,
19.427,1,2,Red,0.0420,
19.483,1,2,Red,0.1074,
19.538,1,2,Red,0.1324,
19.593,1,2,Red,0.1946,
19.649,1,2,Red,0.1785,
19.704,1,2,Red,0.1661,
19.760,1,2,Red,0.1687,
19.815,1,2,Red,0.1792,
19.872,1,2,Red,0.1858,
19.926,1,2,Red,0.1885,
19.982,1,2,Red,0.1993,
20.037,1,2,Red,0.2107,
20.093,1,2,Red,0.2063,
20.149,1,2,Red,0.2093,
20.204,1,2,Red,0.2107,
20.260,1,2,Red,0.2354,
20.316,1,2,Red,0.2466,
20.371,1,2,Red,0.3167,
20.426,1,2,Red,0.3182,
20.482,1,2,Red,0.3260,
20.537,1,2,Red,0.3385,
20.593,1,2,Red,0.4049,
20.648,1,2,Red,0.4418,
20.704,1,2,Red,0.4611,
20.760,1,2,Red,0.4960,
20.815,1,2,Red,0.5055,
20.871,1,2,Red,0.5287,
20.926,1,2,Red,0.5497,
20.982,1,2,Red,0.6049,
21.037,1,2,Red,0.6574,
21.093,1,2,Red,0.6860,
21.149,1,2,Red,0.6835,
21.204,1,2,Red,0.6904,
21.260,1,2,Red,0.7179,
21.315,1,2,Red,0.7477,
21.371,1,2,Red,0.8225,
21.426,1,2,Red,0.8137,
21.482,1,2,Red,0.8259,
21.537,1,2,Red,0.8305,
21.593,1,2,Red,0.8317,
21.648,1,2,Red,0.8303,
21.704,1,2,Red,0.8361,
21.759,1,2,Red,0.8408,
21.800,1,2,Red,0.8398,Placed
22.537,1,2,Red,0.0000,PickedUp
22.580,1,2,Red,0.0000,
22.635,1,2,Red,0.0000,
22.690,1,2,Red,0.0000,
22.745,1,2,Red,0.0000,
22.801,1,2,Red,0.0000,
22.856,1,2,Red,0.0000,
22.912,1,2,Red,0.0000,
22.967,1,2,Red,0.0000,
23.024,1,2,Red,0.0000,
23.079,1,2,Red,0.0000,
23.134,1,2,Red,0.0000,
23.190,1,2,Red,0.0000,
23.245,1,2,Red,0.0000,
23.301,1,2,Red,0.0000,
23.357,1,2,Red,0.0000,
23.412,1,2,Red,0.0000,
23.468,1,2,Red,0.0000,
23.524,1,2,Red,0.0000,
23.579,1,2,Red,0.0000,
23.634,1,2,Red,0.0000,
23.690,1,2,Red,0.0000,
23.746,1,2,Red,0.0000,
23.801,1,2,Red,0.0000,
23.858,1,2,Red,0.0000,
23.912,1,2,Red,0.2383,
23.968,1,2,Red,0.3614,
24.024,1,2,Red,0.3810,
24.079,1,2,Red,0.4718,
24.135,1,2,Red,0.5011,
24.190,1,2,Red,0.5018,
24.246,1,2,Red,0.5204,
24.301,1,2,Red,0.5807,
24.357,1,2,Red,0.5946,
24.412,1,2,Red,0.6017,
24.468,1,2,Red,0.6398,
24.524,1,2,Red,0.6747,
24.579,1,2,Red,0.6781,
24.635,1,2,Red,0.7084,
24.691,1,2,Red,0.7121,
24.746,1,2,Red,0.7216,
24.802,1,2,Red,0.7617,
24.858,1,2,Red,0.7880,
24.913,1,2,Red,0.8024,
24.968,1,2,Red,0.8325,
25.024,1,2,Red,0.8295,
25.079,1,2,Red,0.8332,
25.135,1,2,Red,0.8325,
25.191,1,2,Red,0.8415,
25.246,1,2,Red,0.8430,
25.300,1,2,Red,0.8444,Placed
26.010,1,2,Red,0.0000,PickedUp
26.053,1,2,Red,0.0000,
26.108,1,2,Red,0.0000,
26.164,1,2,Red,0.0000,
26.219,1,2,Red,0.0000,
26.274,1,2,Red,0.0000,
26.330,1,2,Red,0.0000,
26.385,1,2,Red,0.0000,
26.441,1,2,Red,0.0000,
26.497,1,2,Red,0.0000,
26.552,1,2,Red,0.0000,
26.608,1,2,Red,0.0000,
26.663,1,2,Red,0.0000,
26.719,1,2,Red,0.0000,
26.775,1,2,Red,0.0032,
26.830,1,2,Red,0.1094,
26.885,1,2,Red,0.1490,
26.941,1,2,Red,0.1746,
26.996,1,2,Red,0.3028,
27.052,1,2,Red,0.3370,
27.108,1,2,Red,0.3702,
27.163,1,2,Red,0.4308,
27.219,1,2,Red,0.5170,
27.274,1,2,Red,0.6007,
27.330,1,2,Red,0.6012,
27.385,1,2,Red,0.6024,
27.441,1,2,Red,0.6051,
27.497,1,2,Red,0.6259,
27.552,1,2,Red,0.7394,
27.609,1,2,Red,0.8393,
27.663,1,2,Red,0.8332,
27.719,1,2,Red,0.8315,
27.774,1,2,Red,0.8335,
27.830,1,2,Red,0.8349,
27.885,1,2,Red,0.8332,
27.941,1,2,Red,0.8286,
27.997,1,2,Red,0.8335,
28.040,1,2,Red,0.8374,Placed
28.830,1,2,Green,0.0000,PickedUp
28.872,1,2,Green,0.0000,
28.927,1,2,Green,0.0000,
28.982,1,2,Green,0.0000,
29.038,1,2,Green,0.0000,
29.093,1,2,Green,0.0000,
29.149,1,2,Green,0.0000,
29.205,1,2,Green,0.0000,
29.260,1,2,Green,0.0000,
29.316,1,2,Green,0.0000,
29.371,1,2,Green,0.0000,
29.427,1,2,Green,0.0000,
29.483,1,2,Green,0.0000,
29.538,1,2,Green,0.0000,
29.594,1,2,Green,0.0000,
29.649,1,2,Green,0.0000,
29.704,1,2,Green,0.0000,
29.760,1,2,Green,0.0000,
29.815,1,2,Green,0.0000,
29.871,1,2,Green,0.0000,
29.927,1,2,Green,0.0000,
29.982,1,2,Green,0.0178,
30.038,1,2,Green,0.0940,
30.093,1,2,Green,0.1433,
30.149,1,2,Green,0.1448,
30.205,1,2,Green,0.1541,
30.260,1,2,Green,0.1768,
30.316,1,2,Green,0.1949,
30.371,1,2,Green,0.1883,
30.427,1,2,Green,0.1897,
30.482,1,2,Green,0.1853,
30.520,1,2,Green,0.1883,Placed
31.385,1,2,Green,0.0000,PickedUp
31.427,1,2,Green,0.0000,
31.482,1,2,Green,0.0000,
31.538,1,2,Green,0.0000,
31.593,1,2,Green,0.0000,
31.649,1,2,Green,0.0000,
31.704,1,2,Green,0.0000,
31.760,1,2,Green,0.0000,
31.815,1,2,Green,0.0000,
31.871,1,2,Green,0.0000,
31.927,1,2,Green,0.0000,
31.983,1,2,Green,0.0000,
32.038,1,2,Green,0.0000,
32.093,1,2,Green,0.0000,
32.149,1,2,Green,0.0000,
32.204,1,2,Green,0.0000,
32.260,1,2,Green,0.0000,
32.315,1,2,Green,0.0317,
32.371,1,2,Green,0.0906,
32.427,1,2,Green,0.1519,
32.482,1,2,Green,0.1597,
32.538,1,2,Green,0.1597,
32.594,1,2,Green,0.1944,
32.649,1,2,Green,0.2125,
32.704,1,2,Green,0.2376,
32.760,1,2,Green,0.2435,
32.816,1,2,Green,0.2774,
32.840,1,2,Green,0.2816,Placed
33.802,1,2,Green,0.0000,PickedUp
33.844,1,2,Green,0.0000,
33.899,1,2,Green,0.0000,
33.955,1,2,Green,0.0000,
34.010,1,2,Green,0.0000,
34.067,1,2,Green,0.0000,
34.121,1,2,Green,0.0000,
34.177,1,2,Green,0.0000,
34.233,1,2,Green,0.0000,
34.288,1,2,Green,0.0000,
34.344,1,2,Green,0.0000,
34.399,1,2,Green,0.0000,
34.455,1,2,Green,0.0000,
34.511,1,2,Green,0.0000,
34.566,1,2,Green,0.0000,
34.621,1,2,Green,0.0000,
34.677,1,2,Green,0.0000,
34.733,1,2,Green,0.0000,
34.788,1,2,Green,0.0000,
34.844,1,2,Green,0.0000,
34.900,1,2,Green,0.0000,
34.955,1,2,Green,0.1282,
35.010,1,2,Green,0.1316,
35.066,1,2,Green,0.1270,
35.121,1,2,Green,0.1333,
35.177,1,2,Green,0.1426,
35.233,1,2,Green,0.1531,
35.288,1,2,Green,0.1602,
35.344,1,2,Green,0.1961,
35.399,1,2,Green,0.2020,
35.420,1,2,Green,0.1971,Placed
36.413,1,2,Green,0.0000,PickedUp
36.456,1,2,Green,0.0000,
36.511,1,2,Green,0.0000,
36.566,1,2,Green,0.0000,
36.621,1,2,Green,0.0000,
36.677,1,2,Green,0.0000,
36.732,1,2,Green,0.0000,
36.788,1,2,Green,0.0000,
36.844,1,2,Green,0.0000,
36.899,1,2,Green,0.0000,
36.955,1,2,Green,0.0000,
37.010,1,2,Green,0.0000,
37.066,1,2,Green,0.0000,
37.121,1,2,Green,0.0000,
37.177,1,2,Green,0.0000,
37.232,1,2,Green,0.0000,
37.288,1,2,Green,0.0000,
37.344,1,2,Green,0.0000,
37.400,1,2,Green,0.0000,
37.454,1,2,Green,0.0000,
37.510,1,2,Green,0.0667,
37.566,1,2,Green,0.1201,
37.621,1,2,Green,0.1665,
37.677,1,2,Green,0.1800,
37.732,1,2,Green,0.1853,
37.788,1,2,Green,0.2056,
37.844,1,2,Green,0.2081,
37.899,1,2,Green,0.2200,
37.955,1,2,Green,0.2266,
38.010,1,2,Green,0.2269,
38.020,1,2,Green,0.2252,Placed
38.774,1,2,Red,0.0000,PickedUp
38.817,1,2,Red,0.0000,
38.871,1,2,Red,0.0000,
38.926,1,2,Red,0.0000,
38.982,1,2,Red,0.0000,
39.038,1,2,Red,0.0000,
39.093,1,2,Red,0.0000,
39.149,1,2,Red,0.0000,
39.204,1,2,Red,0.0000,
39.260,1,2,Red,0.0000,
39.315,1,2,Red,0.0000,
39.371,1,2,Red,0.0000,
39.427,1,2,Red,0.0000,
39.483,1,2,Red,0.0000,
39.538,1,2,Red,0.0000,
39.593,1,2,Red,0.0000,
39.649,1,2,Red,0.0000,
39.704,1,2,Red,0.0049,
39.760,1,2,Red,0.0530,
39.815,1,2,Red,0.0960,
39.871,1,2,Red,0.1214,
39.927,1,2,Red,0.1416,
39.982,1,2,Red,0.1746,
40.038,1,2,Red,0.1922,
40.093,1,2,Red,0.2083,
40.149,1,2,Red,0.2454,
40.204,1,2,Red,0.2601,
40.260,1,2,Red,0.2523,
40.316,1,2,Red,0.2505,
40.371,1,2,Red,0.2598,
40.426,1,2,Red,0.2823,
40.482,1,2,Red,0.3214,
40.538,1,2,Red,0.3077,
40.593,1,2,Red,0.3096,
40.649,1,2,Red,0.2974,
40.704,1,2,Red,0.2769,
40.760,1,2,Red,0.2222,
40.815,1,2,Red,0.2142,
40.871,1,2,Red,0.2085,
40.926,1,2,Red,0.2024,
40.982,1,2,Red,0.1949,
41.037,1,2,Red,0.1849,
41.093,1,2,Red,0.1612,
41.150,1,2,Red,0.1534,
41.204,1,2,Red,0.1541,
41.260,1,2,Red,0.1536,
41.315,1,2,Red,0.1497,
41.371,1,2,Red,0.1404,
41.427,1,2,Red,0.1199,
41.482,1,2,Red,0.1096,
41.538,1,2,Red,0.0955,
41.593,1,2,Red,0.0926,
41.649,1,2,Red,0.0842,
